"date_reported","total"
"2020-01","16060"
"2020-02","16490"
"2020-03","15539"
"2020-04","15179"
"2020-05","16331"
"2020-06","16955"
"2020-07","16907"
"2020-08","16605"
"2020-09","15636"
"2020-10","16142"
"2020-11","15342"
"2020-12","15522"
"2021-01","16155"
"2021-02","15411"
"2021-03","16307"
"2021-04","16015"
"2021-05","16784"
"2021-06","17125"
"2021-07","18741"
"2021-08","18285"
"2021-09","18258"
"2021-10","18952"
"2021-11","18485"
"2021-12","17767"
"2022-01","18399"
"2022-02","17709"
"2022-03","19802"
"2022-04","19768"
"2022-05","20597"
"2022-06","20263"
"2022-07","19754"
"2022-08","20438"
"2022-09","19362"
"2022-10","20112"
"2022-11","18772"
"2022-12","20091"
"2023-01","20122"
"2023-02","18780"
"2023-03","19379"
"2023-04","19023"
"2023-05","19402"
"2023-06","18924"
"2023-07","20040"
"2023-08","20248"
"2023-09","19385"
"2023-10","20238"
"2023-11","19436"
"2023-12","19659"
