"date_reported","category","total"
"2020-01","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","793"
"2020-01","BATTERY - SIMPLE ASSAULT","1473"
"2020-01","BURGLARY","856"
"2020-01","BURGLARY FROM VEHICLE","1337"
"2020-01","INTIMATE PARTNER - SIMPLE ASSAULT","938"
"2020-01","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","799"
"2020-01","THEFT OF IDENTITY","419"
"2020-01","THEFT PLAIN - PETTY ($950 & UNDER)","1007"
"2020-01","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","981"
"2020-01","VEHICLE - STOLEN","1282"
"2020-02","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","735"
"2020-02","BATTERY - SIMPLE ASSAULT","1431"
"2020-02","BURGLARY","952"
"2020-02","BURGLARY FROM VEHICLE","1227"
"2020-02","INTIMATE PARTNER - SIMPLE ASSAULT","885"
"2020-02","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","833"
"2020-02","THEFT OF IDENTITY","566"
"2020-02","THEFT PLAIN - PETTY ($950 & UNDER)","1121"
"2020-02","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1061"
"2020-02","VEHICLE - STOLEN","1234"
"2020-03","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","761"
"2020-03","BATTERY - SIMPLE ASSAULT","1356"
"2020-03","BURGLARY","986"
"2020-03","BURGLARY FROM VEHICLE","1058"
"2020-03","INTIMATE PARTNER - SIMPLE ASSAULT","901"
"2020-03","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","855"
"2020-03","THEFT OF IDENTITY","503"
"2020-03","THEFT PLAIN - PETTY ($950 & UNDER)","934"
"2020-03","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1001"
"2020-03","VEHICLE - STOLEN","1423"
"2020-04","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","880"
"2020-04","BATTERY - SIMPLE ASSAULT","1184"
"2020-04","BURGLARY","1061"
"2020-04","BURGLARY FROM VEHICLE","1165"
"2020-04","INTIMATE PARTNER - SIMPLE ASSAULT","856"
"2020-04","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","810"
"2020-04","THEFT OF IDENTITY","517"
"2020-04","THEFT PLAIN - PETTY ($950 & UNDER)","786"
"2020-04","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","996"
