"crm_cd_desc","year_occ","total"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2020","11488"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2023","12718"
"BATTERY - SIMPLE ASSAULT","2020","16230"
"BATTERY - SIMPLE ASSAULT","2023","18891"
"BURGLARY","2020","12482"
"BURGLARY","2023","14340"
"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","2020","510"
"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","2023","2043"
"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","2020","3522"
"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","2023","9856"
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","2020","5185"
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","2023","8760"
"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","2020","4657"
"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","2023","9043"
"THEFT OF IDENTITY","2020","6470"
"THEFT OF IDENTITY","2023","14695"
"TRESPASSING","2020","2840"
"TRESPASSING","2023","4466"
"VEHICLE - STOLEN","2020","20429"
"VEHICLE - STOLEN","2023","24564"
