"purchase_date","product_category_name_english","revenue"
"2017-05-08","arts_and_craftmanship","22"
"2017-07-12","arts_and_craftmanship","130"
"2018-04-22","arts_and_craftmanship","16"
"2018-05-06","arts_and_craftmanship","90"
"2018-07-16","arts_and_craftmanship","129"
"2018-07-17","arts_and_craftmanship","10"
"2018-07-20","arts_and_craftmanship","129"
"2018-07-23","arts_and_craftmanship","99"
"2018-07-24","arts_and_craftmanship","129"
"2018-07-25","arts_and_craftmanship","20"
"2018-07-26","arts_and_craftmanship","30"
"2018-07-28","arts_and_craftmanship","58"
"2018-07-30","arts_and_craftmanship","50"
"2018-08-03","arts_and_craftmanship","25"
"2018-08-05","arts_and_craftmanship","18"
"2018-08-15","arts_and_craftmanship","126"
"2018-08-17","arts_and_craftmanship","143"
"2018-08-21","arts_and_craftmanship","289"
"2018-08-22","arts_and_craftmanship","238"
"2018-08-23","arts_and_craftmanship","12"
"2018-08-24","arts_and_craftmanship","50"
"2017-07-05","cds_dvds_musicals","90"
"2017-07-10","cds_dvds_musicals","45"
"2017-07-12","cds_dvds_musicals","45"
"2017-07-28","cds_dvds_musicals","45"
"2017-08-07","cds_dvds_musicals","90"
"2017-08-22","cds_dvds_musicals","45"
"2017-10-24","cds_dvds_musicals","45"
"2017-11-01","cds_dvds_musicals","65"
"2017-11-04","cds_dvds_musicals","65"
"2017-11-16","cds_dvds_musicals","65"
"2017-12-18","cds_dvds_musicals","65"
"2018-04-20","cds_dvds_musicals","65"
"2016-10-08","diapers_and_hygiene","135"
"2017-12-06","diapers_and_hygiene","76"
"2018-01-28","diapers_and_hygiene","125"
"2018-02-23","diapers_and_hygiene","100"
"2018-03-19","diapers_and_hygiene","38"
"2018-03-26","diapers_and_hygiene","125"
"2018-04-06","diapers_and_hygiene","37"
"2018-04-11","diapers_and_hygiene","37"
"2018-04-18","diapers_and_hygiene","30"
"2018-04-28","diapers_and_hygiene","45"
"2018-05-07","diapers_and_hygiene","43"
"2018-05-15","diapers_and_hygiene","37"
