"purchase_date","product_category_name_english","revenue"
"2016-10-04","auto","10"
"2016-10-05","auto","635"
"2016-10-06","auto","500"
"2016-10-07","auto","101"
"2016-10-08","auto","35"
"2016-10-09","auto","390"
"2016-10-10","auto","162"
"2017-01-05","auto","22"
"2017-01-16","auto","970"
"2017-01-17","auto","109"
"2017-01-18","auto","117"
"2017-01-19","auto","152"
"2017-01-20","auto","460"
"2017-01-21","auto","19"
"2017-01-23","auto","770"
"2017-01-24","auto","879"
"2017-01-25","auto","458"
"2017-01-26","auto","218"
"2017-01-28","auto","347"
"2017-01-30","auto","596"
"2017-01-31","auto","100"
"2017-02-01","auto","411"
"2017-02-02","auto","60"
"2017-02-03","auto","379"
"2017-02-04","auto","313"
"2017-02-05","auto","280"
"2017-02-06","auto","542"
"2017-02-07","auto","1011"
"2017-02-08","auto","1245"
"2017-02-09","auto","1501"
"2017-02-10","auto","970"
"2017-02-12","auto","10"
"2017-02-13","auto","962"
"2017-02-14","auto","418"
"2017-02-15","auto","435"
"2017-02-16","auto","60"
"2017-02-17","auto","449"
"2017-02-18","auto","395"
"2017-02-19","auto","465"
"2017-02-20","auto","250"
"2017-02-21","auto","416"
"2017-02-22","auto","565"
"2017-02-23","auto","357"
"2017-02-24","auto","161"
"2017-02-25","auto","169"
"2017-02-26","auto","1200"
"2017-02-28","auto","140"
"2017-03-01","auto","455"
"2017-03-02","auto","284"
"2017-03-03","auto","24"
"2017-03-04","auto","297"
"2017-03-05","auto","190"
"2017-03-06","auto","589"
"2017-03-07","auto","567"
"2017-03-08","auto","375"
"2017-03-09","auto","172"
"2017-03-10","auto","209"
"2017-03-11","auto","1437"
"2017-03-12","auto","355"
"2017-03-13","auto","40"
"2017-03-14","auto","573"
"2017-03-15","auto","289"
"2017-03-16","auto","1250"
"2017-03-18","auto","309"
"2017-03-19","auto","20"
"2017-03-21","auto","1540"
"2017-03-22","auto","584"
"2017-03-23","auto","526"
"2017-03-25","auto","536"
"2017-03-26","auto","290"
"2017-03-27","auto","655"
"2017-03-28","auto","1444"
"2017-03-29","auto","386"
"2017-03-30","auto","557"
"2017-03-31","auto","529"
"2017-04-01","auto","552"
"2017-04-02","auto","1596"
"2017-04-03","auto","197"
"2017-04-04","auto","563"
"2017-04-05","auto","1200"
"2017-04-06","auto","247"
"2017-04-07","auto","160"
"2017-04-08","auto","317"
"2017-04-09","auto","363"
"2017-04-10","auto","1049"
"2017-04-11","auto","397"
"2017-04-12","auto","589"
"2017-04-13","auto","458"
"2017-04-14","auto","275"
"2017-04-15","auto","819"
"2017-04-16","auto","289"
"2017-04-17","auto","313"
"2017-04-19","auto","998"
"2017-04-20","auto","192"
"2017-04-21","auto","160"
"2017-04-22","auto","419"
"2017-04-23","auto","118"
"2017-04-24","auto","372"
"2017-04-25","auto","1026"
"2017-04-26","auto","443"
"2017-04-27","auto","400"
"2017-04-28","auto","1198"
"2017-04-29","auto","589"
"2017-04-30","auto","250"
"2017-05-01","auto","120"
"2017-05-02","auto","282"
"2017-05-03","auto","418"
"2017-05-04","auto","159"
"2017-05-05","auto","400"
"2017-05-06","auto","483"
"2017-05-07","auto","765"
"2017-05-08","auto","374"
"2017-05-09","auto","1327"
"2017-05-10","auto","45"
"2017-05-12","auto","504"
"2017-05-13","auto","936"
"2017-05-14","auto","459"
"2017-05-15","auto","404"
