"purchase_date","product_category_name_english","revenue"
"2017-01-23","agro_industry_and_commerce","44"
"2017-01-31","agro_industry_and_commerce","22"
"2017-02-05","agro_industry_and_commerce","22"
"2017-02-08","agro_industry_and_commerce","22"
"2017-02-12","agro_industry_and_commerce","93"
"2017-02-13","agro_industry_and_commerce","22"
"2017-02-16","agro_industry_and_commerce","22"
"2017-02-18","agro_industry_and_commerce","22"
"2017-02-21","agro_industry_and_commerce","22"
"2017-03-17","agro_industry_and_commerce","60"
"2017-03-20","agro_industry_and_commerce","22"
"2017-05-06","agro_industry_and_commerce","60"
"2017-05-08","agro_industry_and_commerce","590"
"2017-05-20","agro_industry_and_commerce","870"
"2017-05-28","agro_industry_and_commerce","60"
"2017-06-26","agro_industry_and_commerce","1390"
"2017-07-14","agro_industry_and_commerce","1180"
"2017-08-30","agro_industry_and_commerce","88"
"2017-09-05","agro_industry_and_commerce","398"
"2017-09-13","agro_industry_and_commerce","800"
"2017-09-23","agro_industry_and_commerce","796"
"2017-10-05","agro_industry_and_commerce","35"
"2017-10-10","agro_industry_and_commerce","22"
"2017-10-17","agro_industry_and_commerce","850"
"2017-10-23","agro_industry_and_commerce","44"
"2017-10-28","agro_industry_and_commerce","2399"
"2017-11-06","agro_industry_and_commerce","415"
"2017-11-12","agro_industry_and_commerce","920"
"2017-11-14","agro_industry_and_commerce","1211"
"2017-11-18","agro_industry_and_commerce","399"
"2017-11-20","agro_industry_and_commerce","2990"
"2017-11-22","agro_industry_and_commerce","398"
"2017-11-23","agro_industry_and_commerce","830"
"2017-11-24","agro_industry_and_commerce","6332"
"2017-11-28","agro_industry_and_commerce","398"
"2017-11-29","agro_industry_and_commerce","40"
"2017-12-01","agro_industry_and_commerce","425"
"2017-12-04","agro_industry_and_commerce","412"
"2017-12-06","agro_industry_and_commerce","425"
"2017-12-08","agro_industry_and_commerce","267"
"2017-12-10","agro_industry_and_commerce","90"
"2017-12-20","agro_industry_and_commerce","820"
"2017-12-22","agro_industry_and_commerce","2199"
"2017-12-28","agro_industry_and_commerce","412"
"2017-12-29","agro_industry_and_commerce","242"
"2018-01-03","agro_industry_and_commerce","228"
"2018-01-04","agro_industry_and_commerce","1330"
"2018-01-06","agro_industry_and_commerce","410"
"2018-01-07","agro_industry_and_commerce","410"
"2018-01-10","agro_industry_and_commerce","1163"
"2018-01-12","agro_industry_and_commerce","465"
"2018-01-13","agro_industry_and_commerce","30"
"2018-01-16","agro_industry_and_commerce","412"
"2018-01-17","agro_industry_and_commerce","412"
"2018-01-18","agro_industry_and_commerce","92"
"2018-01-24","agro_industry_and_commerce","20"
"2018-01-25","agro_industry_and_commerce","58"
"2018-01-30","agro_industry_and_commerce","412"
"2018-01-31","agro_industry_and_commerce","412"
"2018-02-01","agro_industry_and_commerce","35"
"2018-02-02","agro_industry_and_commerce","432"
"2018-02-04","agro_industry_and_commerce","412"
"2018-02-05","agro_industry_and_commerce","328"
"2018-02-06","agro_industry_and_commerce","20"
"2018-02-07","agro_industry_and_commerce","940"
"2018-02-08","agro_industry_and_commerce","259"
"2018-02-09","agro_industry_and_commerce","412"
"2018-02-14","agro_industry_and_commerce","824"
"2018-02-16","agro_industry_and_commerce","549"
"2018-02-22","agro_industry_and_commerce","58"
"2018-02-23","agro_industry_and_commerce","824"
"2018-02-25","agro_industry_and_commerce","465"
"2018-02-26","agro_industry_and_commerce","25"
"2018-02-27","agro_industry_and_commerce","412"
"2018-02-28","agro_industry_and_commerce","1410"
"2018-03-01","agro_industry_and_commerce","35"
"2018-03-02","agro_industry_and_commerce","20"
"2018-03-05","agro_industry_and_commerce","712"
"2018-03-06","agro_industry_and_commerce","410"
"2018-03-07","agro_industry_and_commerce","170"
"2018-03-12","agro_industry_and_commerce","23"
"2018-03-13","agro_industry_and_commerce","330"
"2018-03-14","agro_industry_and_commerce","878"
"2018-03-16","agro_industry_and_commerce","522"
"2018-03-18","agro_industry_and_commerce","20"
"2018-03-19","agro_industry_and_commerce","39"
"2018-03-20","agro_industry_and_commerce","470"
"2018-03-22","agro_industry_and_commerce","960"
"2018-03-26","agro_industry_and_commerce","820"
"2018-03-28","agro_industry_and_commerce","198"
"2018-03-29","agro_industry_and_commerce","412"
"2018-04-03","agro_industry_and_commerce","465"
"2018-04-04","agro_industry_and_commerce","58"
"2018-04-05","agro_industry_and_commerce","412"
"2018-04-12","agro_industry_and_commerce","549"
"2018-04-13","agro_industry_and_commerce","88"
"2018-04-17","agro_industry_and_commerce","412"
"2018-04-18","agro_industry_and_commerce","1476"
"2018-04-19","agro_industry_and_commerce","228"
"2018-04-24","agro_industry_and_commerce","77"
"2018-04-25","agro_industry_and_commerce","228"
"2018-04-27","agro_industry_and_commerce","410"
"2018-04-28","agro_industry_and_commerce","97"
"2018-05-06","agro_industry_and_commerce","45"
"2018-05-07","agro_industry_and_commerce","270"
"2018-05-08","agro_industry_and_commerce","410"
"2018-05-09","agro_industry_and_commerce","69"
"2018-05-10","agro_industry_and_commerce","1592"
"2018-05-17","agro_industry_and_commerce","429"
"2018-05-30","agro_industry_and_commerce","465"
"2018-06-05","agro_industry_and_commerce","479"
"2018-06-07","agro_industry_and_commerce","1234"
"2018-06-11","agro_industry_and_commerce","260"
"2018-06-12","agro_industry_and_commerce","35"
"2018-06-22","agro_industry_and_commerce","599"
"2018-06-24","agro_industry_and_commerce","35"
"2018-06-25","agro_industry_and_commerce","125"
"2018-06-27","agro_industry_and_commerce","549"
"2018-06-28","agro_industry_and_commerce","200"
"2018-07-01","agro_industry_and_commerce","469"
"2018-07-04","agro_industry_and_commerce","614"
"2018-07-10","agro_industry_and_commerce","560"
"2018-07-16","agro_industry_and_commerce","420"
"2018-07-17","agro_industry_and_commerce","134"
"2018-07-18","agro_industry_and_commerce","1451"
"2018-07-19","agro_industry_and_commerce","1184"
"2018-07-20","agro_industry_and_commerce","105"
"2018-07-23","agro_industry_and_commerce","120"
"2018-07-24","agro_industry_and_commerce","712"
"2018-07-25","agro_industry_and_commerce","110"
"2018-07-28","agro_industry_and_commerce","600"
"2018-07-29","agro_industry_and_commerce","1196"
"2018-07-30","agro_industry_and_commerce","30"
"2018-07-31","agro_industry_and_commerce","52"
"2018-08-02","agro_industry_and_commerce","1078"
"2018-08-04","agro_industry_and_commerce","1899"
"2018-08-05","agro_industry_and_commerce","150"
"2018-08-06","agro_industry_and_commerce","474"
"2018-08-10","agro_industry_and_commerce","360"
"2018-08-18","agro_industry_and_commerce","24"
"2018-08-20","agro_industry_and_commerce","551"
"2018-08-24","agro_industry_and_commerce","32"
"2018-08-25","agro_industry_and_commerce","440"
"2018-08-26","agro_industry_and_commerce","13"
"2016-10-04","air_conditioning","750"
"2016-10-05","air_conditioning","600"
"2016-10-07","air_conditioning","358"
"2017-01-23","air_conditioning","300"
"2017-01-27","air_conditioning","175"
"2017-01-28","air_conditioning","189"
"2017-02-10","air_conditioning","109"
"2017-02-14","air_conditioning","690"
"2017-02-17","air_conditioning","878"
"2017-02-18","air_conditioning","376"
"2017-02-19","air_conditioning","603"
"2017-02-20","air_conditioning","188"
"2017-02-22","air_conditioning","252"
"2017-03-02","air_conditioning","890"
"2017-03-07","air_conditioning","795"
"2017-03-09","air_conditioning","60"
"2017-03-10","air_conditioning","170"
"2017-03-11","air_conditioning","870"
"2017-03-12","air_conditioning","430"
"2017-03-13","air_conditioning","60"
"2017-03-14","air_conditioning","350"
"2017-03-15","air_conditioning","120"
"2017-03-17","air_conditioning","60"
"2017-03-21","air_conditioning","60"
"2017-03-22","air_conditioning","60"
"2017-03-23","air_conditioning","60"
"2017-03-28","air_conditioning","60"
"2017-03-31","air_conditioning","60"
"2017-04-01","air_conditioning","60"
"2017-04-02","air_conditioning","60"
"2017-04-08","air_conditioning","199"
"2017-04-09","air_conditioning","120"
"2017-04-10","air_conditioning","627"
"2017-04-15","air_conditioning","800"
"2017-04-17","air_conditioning","90"
"2017-04-18","air_conditioning","150"
"2017-04-19","air_conditioning","278"
"2017-04-24","air_conditioning","89"
"2017-04-27","air_conditioning","110"
"2017-05-03","air_conditioning","199"
"2017-05-04","air_conditioning","178"
