distance_km,days_late,review_score,product_weight_g
302,-9,5,650
435,-15,5,850
377,-1,1,1614
321,-20,4,2850
278,-13,5,700
262,-12,4,588
339,-21,5,450
716,-12,5,300
2286,-6,5,8250
502,-18,4,300
2372,-3,5,2100
1605,-4,4,200
645,-24,5,260
838,-24,4,1000
359,-10,5,300
767,-6,4,2750
2136,-3,5,300
818,-14,4,1400
598,-21,5,475
86,-4,4,9900
692,-12,5,50
505,-3,4,2500
593,-13,5,2050
811,-18,5,700
16,-7,4,950
16,-7,4,950
347,-11,3,429
332,-19,5,7850
869,-29,5,450
1310,-29,5,450
869,-29,5,200
1310,-29,5,200
694,22,1,1000
449,-4,5,23250
745,3,5,3950
648,12,1,3150
521,-8,1,1300
521,-8,1,1300
NULL,32,NULL,300
31,-25,5,127
74,-13,5,1000
74,-13,5,400
1019,-15,3,1600
390,-12,5,870
309,-9,5,1300
309,-9,5,1300
309,-9,5,1300
309,-9,5,1300
184,-27,4,2275
355,-15,5,100
308,-11,2,15475
341,-9,5,8100
311,0,4,183
331,-31,5,250
331,-31,5,250
2271,-13,5,1092
298,-6,3,12250
745,-28,5,245
745,-28,5,245
2100,-7,5,100
72,-10,1,5650
683,-18,5,2500
829,-18,5,4500
606,-20,5,900
89,-3,4,300
17,-5,5,1110
451,-13,5,4105
550,-19,4,850
550,-19,4,900
70,-7,5,100
52,2,1,100
802,-18,5,6300
336,-16,4,200
2318,-4,5,250
31,60,4,2450
307,26,2,548
77,-14,5,422
29,-1,4,450
349,0,1,1400
349,0,1,3900
564,-21,3,5450
796,-9,4,2200
565,-14,5,350
565,-14,5,350
37,-6,1,2550
1947,-21,4,400
516,-14,5,300
537,-9,5,300
2753,-38,5,625
NULL,-3,NULL,550
915,-12,5,6550
81,-6,4,350
37,-14,5,175
203,-1,1,14600
3,-6,5,230
79,-15,2,200
16,2,1,200
533,-9,5,150
825,0,5,2841
362,-15,5,2250
435,-14,5,517
435,-14,5,517
435,-14,5,517
877,-14,5,2500
NULL,-7,NULL,2200
864,-16,3,100
402,-7,4,2600
256,-9,3,2000
NULL,-9,NULL,1450
183,-21,5,200
50,-7,4,150
24,-1,5,150
472,-19,4,16550
765,-14,2,2500
494,-20,5,250
452,-15,3,2600
2379,-18,2,250
1956,-19,5,575
74,-7,5,150
165,-13,5,3000
799,-9,3,350
799,-9,3,350
259,-15,4,4338
1010,-16,5,150
782,-12,5,50
28,-27,5,100
876,-4,4,175
779,-17,5,600
340,-33,5,850
133,-5,4,100
74,-15,5,150
344,-9,3,6250
52,-9,4,1750
1118,-10,1,700
1118,-10,1,700
737,-18,5,1450
115,-13,5,1110
342,2,5,1400
846,-17,5,275
477,-14,5,501
9,-9,4,250
224,-13,5,550
857,-25,3,775
950,-25,3,775
857,-25,3,800
950,-25,3,800
857,-25,3,500
950,-25,3,500
857,-25,3,600
950,-25,3,600
214,-23,1,200
85,-8,4,250
177,-21,5,400
336,-36,5,500
222,-12,5,4250
4,-13,2,200
455,8,5,1100
237,7,1,2550
237,7,1,2550
523,-20,5,150
904,-17,1,200
576,-7,5,250
152,-12,5,450
3180,-15,4,1900
29,-7,5,150
825,-30,4,850
319,-21,4,1383
608,-15,5,200
48,-16,5,7900
678,-8,5,1650
873,-10,5,150
369,-13,3,8700
114,-1,1,18800
206,-20,4,1350
674,-21,5,1550
326,-11,4,600
794,-20,4,900
794,-20,4,900
794,-20,4,900
794,-20,4,900
700,-15,1,1655
2123,-17,5,1400
333,-19,5,6550
670,-18,4,100
92,-7,5,900
291,-7,5,342
339,-29,4,400
507,-13,5,500
586,-3,4,30000
312,-14,5,3050
293,-6,4,200
646,-16,5,3750
162,-15,4,450
485,-17,4,200
548,-16,5,13805
53,0,1,2000
33,-19,4,850
154,-11,5,950
318,0,5,200
566,-22,5,1383
397,-8,5,1650
397,-8,5,1650
865,-6,5,1050
80,-9,4,200
38,-4,1,468
249,-13,5,1800
393,-7,3,600
22,-9,3,800
318,2,3,300
257,-20,4,9375
504,-15,4,250
339,-4,5,1800
686,-15,5,9800
103,-20,4,2965
847,-13,5,2500
70,-7,5,150
128,-8,5,2500
642,-7,4,2650
719,-15,2,750
NULL,-10,NULL,180
NULL,-10,NULL,180
NULL,-10,NULL,180
339,-6,5,350
780,-14,5,150
576,-15,1,550
1194,-10,5,1500
1445,4,1,3407
170,-15,5,1200
437,-26,5,750
1077,-12,4,150
1077,-12,4,150
1077,-12,4,150
48,-5,5,418
596,-21,5,207
310,8,2,1550
9,2,1,150
9,2,1,150
1616,-11,5,300
547,-35,5,950
173,-2,5,700
904,9,1,350
87,-1,5,1800
100,-2,3,710
1764,23,4,533
2360,-9,4,350
2237,-1,5,217
872,6,1,173
872,6,1,173
60,-14,5,500
293,-6,5,584
1832,-7,2,321
2361,-24,5,2850
12,-14,1,200
901,-19,5,525
858,-8,4,100
289,-1,5,1350
226,-16,5,1600
491,-25,5,150
19,-12,5,200
868,-8,5,28600
1,-23,5,700
664,-2,1,1750
95,-6,5,150
626,-21,5,250
2414,-41,5,367
238,-20,5,7700
15,-12,5,1338
1253,2,3,400
1191,-10,5,1000
346,-17,5,1600
472,-15,3,1550
472,-15,3,1550
17,1,1,388
17,1,1,388
17,1,1,388
17,1,1,388
318,-7,5,6550
1465,-14,4,200
465,-13,5,450
465,-13,5,450
351,-16,5,325
2299,-30,1,88
45,-13,5,3500
534,-5,5,250
689,-7,5,225
476,-7,5,3300
1033,-21,1,150
1033,-21,1,100
1033,-21,1,100
512,12,3,910
534,-3,5,925
2831,-14,5,700
722,-20,4,350
297,-6,5,710
NULL,-14,NULL,7150
46,-21,5,150
431,-14,4,3875
821,-30,5,4075
310,-9,5,725
699,-6,5,595
974,8,1,700
1327,-12,1,250
1327,-12,1,250
729,-19,5,300
545,-21,5,180
426,-5,5,800
872,-16,5,2200
600,-24,5,500
15,-27,5,100
18,-2,5,150
520,-21,4,250
732,-14,5,9000
38,-10,4,10050
160,-6,2,317
30,-18,5,1700
113,-15,4,16000
152,-7,4,550
32,-13,5,250
655,-14,5,950
305,-6,4,300
311,-3,5,500
604,-8,5,19200
24,-10,5,150
16,-11,5,7474
934,-16,4,1450
882,-4,2,490
773,-20,5,200
426,-16,5,650
339,-19,3,150
17,-10,2,200
510,-9,5,1300
554,-9,3,800
1607,24,1,150
796,-34,4,350
22,-7,5,1000
5,-10,5,540
20,-2,3,250
592,-15,5,650
358,-14,5,250
1395,11,1,325
166,-21,5,3500
727,74,1,350
912,-9,5,250
880,-11,5,1250
880,-11,5,1250
490,-10,5,1833
403,-14,5,275
NULL,-8,NULL,400
482,5,3,550
482,5,3,550
355,-13,5,300
23,-9,5,675
511,-14,5,3250
281,0,4,12250
1258,0,3,900
1369,-13,4,200
1369,-13,4,200
2372,-10,5,900
2051,-12,5,1700
296,-14,5,416
710,-25,5,9050
357,41,4,1100
966,-2,3,400
1920,-12,4,400
602,-14,1,600
352,-16,5,2850
714,-12,5,483
472,-25,5,150
154,-13,5,200
154,-13,5,200
333,-21,5,150
863,-15,5,550
365,-25,5,450
1447,-13,4,575
349,-11,4,8683
389,-16,1,350
