"customer_zip_code","revenue"
22790,"22155"
35501,"18061"
24220,"17727"
28970,"17199"
22793,"17168"
24230,"17101"
22775,"16875"
29102,"16536"
13212,"16220"
36570,"15754"
22631,"15633"
35500,"14289"
20080,"13789"
20540,"13491"
37200,"13298"
45810,"12860"
22753,"12211"
38400,"12019"
13087,"11855"
13214,"11724"
11030,"11224"
41830,"11046"
88330,"11033"
29101,"10793"
24020,"10725"
39400,"10696"
35700,"10637"
11740,"10506"
35162,"10445"
21321,"9590"
22451,"9533"
11045,"9522"
11250,"9521"
88034,"9301"
22430,"9181"
22795,"9166"
11065,"9104"
37701,"9098"
7600,"9087"
13820,"8934"
22260,"8913"
11680,"8901"
35300,"8848"
21330,"8761"
57035,"8734"
30140,"8710"
30575,"8673"
26255,"8663"
11060,"8576"
22250,"8562"
36900,"8510"
11700,"8462"
29066,"8461"
38600,"8430"
33400,"8401"
30130,"8361"
47850,"8344"
8773,"8287"
30320,"8280"
36400,"8251"
20520,"8229"
24210,"8169"
22251,"8114"
89560,"8108"
37550,"8062"
29090,"7922"
38408,"7917"
2435,"7889"
30441,"7859"
35519,"7856"
20550,"7852"
11702,"7773"
41810,"7769"
4144,"7769"
22230,"7612"
30180,"7602"
20230,"7581"
22780,"7530"
11070,"7510"
17506,"7491"
15600,"7445"
20521,"7426"
22290,"7415"
18550,"7412"
78050,"7348"
39401,"7294"
79042,"7270"
13060,"7252"
35900,"7222"
20551,"7219"
22410,"7202"
20260,"7160"
8240,"7155"
74210,"7110"
97015,"7101"
30160,"7097"
44700,"7080"
11035,"7069"
13040,"7021"
35430,"6984"
28300,"6964"
11075,"6954"
22710,"6948"
20541,"6948"
24240,"6914"
13050,"6912"
90010,"6870"
20720,"6868"
35400,"6862"
38610,"6825"
39270,"6803"
13348,"6795"
21941,"6755"
30170,"6753"
20510,"6737"
58038,"6731"
99010,"6723"
13070,"6686"
11750,"6681"
11055,"6644"
30310,"6627"
51020,"6584"
22240,"6577"
26600,"6572"
96400,"6512"
90050,"6500"
14020,"6480"
29055,"6477"
21931,"6438"
41820,"6420"
71680,"6391"
24350,"6386"
45400,"6374"
11015,"6348"
22280,"6348"
30350,"6319"
88058,"6311"
12243,"6309"
11900,"6288"
95520,"6251"
6900,"6245"
28895,"6238"
78850,"6233"
41720,"6226"
13419,"6226"
28035,"6221"
20081,"6219"
13560,"6213"
20511,"6207"
65075,"6202"
33200,"6173"
32280,"6158"
89900,"6156"
14403,"6138"
20040,"6133"
88220,"6110"
22450,"6107"
88701,"6107"
22750,"6107"
37800,"6081"
21235,"6071"
22723,"6052"
86010,"6043"
13160,"6030"
21020,"5999"
9341,"5997"
9371,"5983"
20270,"5971"
89190,"5965"
9750,"5916"
20771,"5915"
13218,"5892"
88301,"5875"
13091,"5868"
15400,"5863"
15130,"5851"
13056,"5839"
35164,"5838"
6730,"5834"
88015,"5822"
78455,"5808"
22270,"5801"
13084,"5798"
35680,"5791"
13140,"5787"
13500,"5774"
20031,"5763"
22221,"5760"
22743,"5758"
20261,"5753"
9111,"5752"
35660,"5738"
17017,"5722"
12246,"5721"
31330,"5702"
38700,"5697"
91170,"5694"
35160,"5674"
80250,"5672"
16200,"5666"
88025,"5663"
5017,"5620"
66055,"5616"
6414,"5605"
30431,"5595"
13480,"5595"
71050,"5591"
98700,"5584"
14300,"5575"
23970,"5560"
22231,"5552"
71020,"5542"
35790,"5541"
14801,"5531"
22770,"5521"
22783,"5520"
13054,"5518"
20560,"5506"
13416,"5505"
13083,"5492"
34006,"5482"
22630,"5478"
28625,"5471"
96810,"5468"
80240,"5455"
4302,"5444"
85810,"5443"
80540,"5433"
13216,"5428"
17800,"5426"
92500,"5418"
35701,"5416"
87050,"5416"
22031,"5415"
21220,"5396"
35588,"5392"
13085,"5392"
11730,"5368"
13295,"5356"
22730,"5331"
28470,"5331"
75690,"5302"
22080,"5292"
13272,"5280"
65800,"5274"
71937,"5243"
28930,"5238"
30380,"5227"
66063,"5213"
31170,"5210"
38412,"5202"
22470,"5198"
8710,"5196"
36010,"5188"
1311,"5186"
2402,"5183"
89801,"5168"
34018,"5149"
