"seller_id","percentage_on_time","avg_review_score"
"8d899e15a5925f097cca50faa49b15e3","0.40","2.5"
"b1b3948701c5c72445495bd161b83a4c","0.50","1.7"
"2709af9587499e95e803a6498a5a56e9","0.51","2.6"
"fce62094ffe6a4009188ec44e681dfdd","0.55","3.2"
"c42fd8e4d47dfb18ce5222f2dd7752f9","0.55","4.0"
"c37b2059d4f90d4feead554e5246565e","0.56","3.8"
"02dcd3e8e25bee036e32512bcf175493","0.63","3.3"
"312ba1d77e9c332ef21f9598b7f64cd7","0.64","2.9"
"26e2c91ef821e1ff8985f408788fe35b","0.64","3.0"
"c990d6cf976a5718aaedc539f383ab88","0.64","3.2"
"13fa2a6c6b9d0f43cb588d7c82117a12","0.64","4.1"
"cb41bfbcbda0aea354a834ab222f9a59","0.67","3.3"
"973f21788dfab357250f69a8dcb7ddee","0.67","2.3"
"7210cd29727d674c00741e5e387b3ccd","0.69","3.7"
"54965bbe3e4f07ae045b90b0b8541f52","0.70","2.9"
"e1b12447a7563944843191754aeb5562","0.70","4.5"
"7f152321c60a266edc53af1925ef96c1","0.70","3.8"
"ede0c03645598cdfc63ca8237acbe73d","0.70","3.6"
"3e8bd881d92466e63ba9e3e809cd3c50","0.70","4.2"
"c1ed9e3daf6154542826a6996af0fb8c","0.71","4.4"
"f76a3b1349b6df1ee875d1f3fa4340f0","0.71","3.5"
"c4d51195486dc781531876a7d00453d8","0.71","3.9"
"8bd0e3abda539b9479c4b44a691be1ec","0.71","1.9"
"822bad9bc42b51213ba522fe87b7ab5d","0.72","4.1"
"821fb029fc6e495ca4f08a35d51e53a5","0.72","3.4"
"054694fa03fe82cec4b7551487331d74","0.73","3.4"
"3a1a1fec38dd360f15fc912e821e169d","0.73","3.9"
"2a1348e9addc1af5aaa619b1a3679d6b","0.73","3.0"
"656591be56071d4c9ef4e5fee78a578a","0.73","4.6"
"ad781527c93d00d89a11eecd9dcad7c1","0.73","3.1"
"eb4df17aed01d918c65f0f8d650900c0","0.73","3.9"
"91f0eec23d4a61d7d7caeefa3f0ad1ca","0.73","3.5"
"835f0f7810c76831d6c7d24c7a646d4d","0.74","3.3"
"2e1a7d075abe038c1b2743005fe42ff1","0.74","3.7"
"b19f3ca2ea475913750f25a5c37c8d8f","0.75","2.8"
"e64d65bc8dbec2accda90c58de5d1246","0.75","3.1"
"b0b346d3a89f5eb4c2968af3f083cd43","0.75","3.1"
"e504a4e2efaa45cbff7e268a2c58c956","0.75","3.7"
"02d35243ea2e497335cd0f076b45675d","0.75","2.7"
"b5abf4f36adc043117b4fca82c22984c","0.75","2.4"
"a066df7361163e7ddc5d7452dd17448b","0.76","4.5"
"71039d19d4303bf9054d69e9a9236699","0.76","3.7"
"5b0cc932433fa5184b5b94bfe6bcc256","0.76","3.5"
"5abb8ea023c77787f2c15da891c8d384","0.77","3.9"
"0417b067eeab773d2f7061a726dc477f","0.77","3.9"
"8378eb36b6b70c5734e83ad7b8cdc3b7","0.77","3.8"
"5b581417df4480f632484ba681e53944","0.77","3.3"
"6ec1a01e866584bb679eb9b098345919","0.78","4.1"
"beadbee30901a7f61d031b6b686095ad","0.78","3.9"
"bbad7e518d7af88a0897397ffdca1979","0.78","3.0"
"1dfe5347016252a7884b694d4f10f5c4","0.78","3.2"
"ecccfa2bb93b34a3bf033cc5d1dcdc69","0.79","2.3"
"7fc87cc3e89b3d1d5cabdca32f8485aa","0.79","3.6"
"a44fb5a447105f8469bdf16bf9159f25","0.79","4.1"
